Date,Price,Change %
2022-01-03,3.59,-1.37%
2022-01-04,3.6,0.28%
2022-01-05,3.58,-0.56%
2022-01-06,3.57,-0.28%
2022-01-07,3.6,0.84%
2022-01-10,3.59,-0.28%
2022-01-11,3.58,-0.28%
2022-01-12,3.57,-0.28%
2022-01-13,3.58,0.28%
2022-01-14,3.59,0.28%
2022-01-17,3.6,0.28%
2022-01-18,3.6,0.00%
2022-01-19,3.68,2.22%
2022-01-20,3.73,1.36%
2022-01-21,3.73,0.00%
2022-01-24,3.73,0.00%
2022-01-25,3.71,-0.54%
2022-01-27,3.76,1.35%
2022-01-28,3.76,0.00%
2022-01-31,3.76,0.00%
2022-02-01,3.77,0.27%
2022-02-02,3.84,1.86%
2022-02-03,3.83,-0.26%
2022-02-04,3.86,0.78%
2022-02-08,3.9,1.04%
2022-02-09,3.88,-0.51%
2022-02-10,3.76,-3.09%
2022-02-11,3.75,-0.27%
2022-02-14,3.76,0.27%
2022-02-15,3.77,0.27%
2022-02-16,3.73,-1.06%
2022-02-17,3.66,-1.88%
2022-02-18,3.72,1.64%
2022-02-21,3.71,-0.27%
2022-02-22,3.72,0.27%
2022-02-23,3.71,-0.27%
2022-02-24,3.74,0.81%
2022-02-25,3.74,0.00%
2022-02-28,3.73,-0.27%
2022-03-02,3.78,1.34%
2022-03-03,3.79,0.26%
2022-03-04,3.8,0.26%
2022-03-07,3.83,0.79%
2022-03-08,3.84,0.26%
2022-03-09,3.78,-1.56%
2022-03-10,3.84,1.59%
2022-03-11,3.83,-0.26%
2022-03-14,3.83,0.00%
2022-03-15,3.8,-0.78%
2022-03-16,3.79,-0.26%
2022-03-17,3.77,-0.53%
2022-03-21,3.78,0.27%
2022-03-22,3.76,-0.53%
2022-03-23,3.8,1.06%
2022-03-24,3.8,0.00%
2022-03-25,3.79,-0.26%
2022-03-28,3.78,-0.26%
2022-03-29,3.78,0.00%
2022-03-30,3.83,1.32%
2022-03-31,3.83,0.00%
2022-04-04,3.75,-2.09%
2022-04-05,3.73,-0.53%
2022-04-06,3.78,1.34%
2022-04-07,3.87,2.38%
2022-04-08,3.98,2.84%
2022-04-11,4,0.50%
2022-04-12,3.98,-0.50%
2022-04-13,3.99,0.25%
2022-04-18,4.01,0.50%
2022-04-19,3.99,-0.50%
2022-04-20,3.97,-0.50%
2022-04-21,3.97,0.00%
2022-04-22,3.98,0.25%
2022-04-25,3.96,-0.50%
2022-04-26,3.98,0.51%
2022-04-27,4,0.50%
2022-04-28,4.01,0.25%
2022-04-29,4.03,0.50%
2022-05-02,4.03,0.00%
2022-05-04,4.37,8.44%
2022-05-05,4.58,4.81%
2022-05-06,4.58,0.00%
2022-05-09,4.62,0.87%
2022-05-10,4.63,0.22%
2022-05-11,4.75,2.59%
2022-05-12,4.84,1.89%
2022-05-13,4.9,1.24%
2022-05-17,4.88,-0.41%
2022-05-18,4.89,0.20%
2022-05-19,4.91,0.41%
2022-05-20,4.92,0.20%
2022-05-23,4.87,-1.02%
2022-05-24,4.87,0.00%
2022-05-25,4.88,0.21%
2022-05-26,4.89,0.20%
2022-05-27,4.88,-0.20%
2022-05-30,4.89,0.20%
2022-05-31,4.91,0.41%
2022-06-01,4.93,0.41%
2022-06-02,4.97,0.81%
2022-06-03,4.98,0.20%
2022-06-06,4.98,0.00%
2022-06-07,5.02,0.80%
2022-06-08,4.97,-1.00%
2022-06-09,5.01,0.80%
2022-06-10,5,-0.20%
2022-06-13,4.99,-0.20%
2022-06-14,4.98,-0.20%
2022-06-15,5.04,1.20%
2022-06-16,5.07,0.60%
2022-06-17,5.12,0.99%
2022-06-20,5.07,-0.98%
2022-06-21,5.05,-0.39%
2022-06-22,5.07,0.40%
2022-06-23,5.11,0.79%
2022-06-24,5.11,0.00%
2022-06-27,5.08,-0.59%
2022-06-28,5.1,0.39%
2022-06-29,5.13,0.59%
2022-06-30,5.14,0.19%
2022-07-01,5.13,-0.19%
2022-07-04,5.11,-0.39%
2022-07-05,5.12,0.20%
2022-07-06,5.09,-0.59%
2022-07-07,5.16,1.38%
2022-07-08,5.17,0.19%
2022-07-11,5.15,-0.39%
2022-07-12,5.16,0.19%
2022-07-13,5.18,0.39%
2022-07-14,5.22,0.77%
2022-07-15,5.23,0.19%
2022-07-18,5.23,0.00%
2022-07-19,5.25,0.38%
2022-07-20,5.37,2.29%
2022-07-21,5.43,1.12%
2022-07-22,5.45,0.37%
2022-07-25,5.45,0.00%
2022-07-26,5.44,-0.18%
2022-07-27,5.63,3.49%
2022-07-28,5.6,-0.53%
2022-07-29,5.6,0.00%
2022-08-01,5.58,-0.36%
2022-08-02,5.47,-1.97%
2022-08-03,5.53,1.10%
2022-08-04,5.53,0.00%
2022-08-05,5.58,0.90%
2022-08-08,5.58,0.00%
2022-08-10,5.53,-0.90%
2022-08-11,5.61,1.45%
2022-08-12,5.55,-1.07%
2022-08-17,5.54,-0.18%
2022-08-18,5.56,0.36%
2022-08-19,5.55,-0.18%
2022-08-22,5.58,0.54%
2022-08-23,5.52,-1.08%
2022-08-24,5.58,1.09%
2022-08-25,5.62,0.72%
2022-08-26,5.59,-0.53%
2022-08-29,5.6,0.18%
2022-08-30,5.59,-0.18%
2022-09-01,5.66,1.25%
2022-09-02,5.63,-0.53%
2022-09-05,5.63,0.00%
2022-09-06,5.6,-0.53%
2022-09-07,5.59,-0.18%
2022-09-08,5.64,0.89%
2022-09-09,5.64,0.00%
2022-09-12,5.66,0.35%
2022-09-13,5.66,0.00%
2022-09-14,5.7,0.71%
2022-09-15,5.76,1.05%
2022-09-16,5.77,0.17%
2022-09-19,5.78,0.17%
2022-09-20,5.79,0.17%
2022-09-21,5.85,1.04%
2022-09-22,5.88,0.51%
2022-09-23,5.9,0.34%
2022-09-26,5.94,0.68%
2022-09-27,5.97,0.51%
2022-09-28,6.1,2.18%
2022-09-29,6.09,-0.16%
2022-09-30,6.09,0.00%
2022-10-03,5.98,-1.81%
2022-10-04,5.96,-0.33%
2022-10-06,6.09,2.18%
2022-10-07,6.12,0.49%
2022-10-10,6.13,0.16%
2022-10-11,6.2,1.14%
2022-10-12,6.23,0.48%
2022-10-13,6.3,1.12%
2022-10-14,6.33,0.48%
2022-10-17,6.3,-0.47%
2022-10-18,6.3,0.00%
2022-10-19,6.33,0.48%
2022-10-20,6.38,0.79%
2022-10-21,6.38,0.00%
2022-10-25,6.36,-0.31%
2022-10-27,6.38,0.31%
2022-10-28,6.45,1.10%
2022-10-31,6.44,-0.16%
2022-11-01,6.45,0.16%
2022-11-02,6.47,0.31%
2022-11-03,6.46,-0.15%
2022-11-04,6.48,0.31%
2022-11-07,6.47,-0.15%
2022-11-09,6.45,-0.31%
2022-11-10,6.45,0.00%
2022-11-11,6.43,-0.31%
2022-11-14,6.48,0.78%
2022-11-15,6.48,0.00%
2022-11-16,6.45,-0.46%
2022-11-17,6.43,-0.31%
2022-11-18,6.43,0.00%
2022-11-21,6.43,0.00%
2022-11-22,6.43,0.00%
2022-11-23,6.44,0.16%
2022-11-24,6.42,-0.31%
2022-11-25,6.45,0.47%
2022-11-28,6.42,-0.47%
2022-11-29,6.42,0.00%
2022-11-30,6.41,-0.16%
2022-12-01,6.39,-0.31%
2022-12-02,6.37,-0.31%
2022-12-05,6.36,-0.16%
2022-12-06,6.36,0.00%
2022-12-07,6.4,0.63%
2022-12-08,6.4,0.00%
2022-12-09,6.38,-0.31%
2022-12-12,6.4,0.31%
2022-12-13,6.37,-0.47%
2022-12-14,6.41,0.63%
2022-12-15,6.39,-0.31%
2022-12-16,6.41,0.31%
